公司 company
学位 degree
职位 job
学校 school
/*
说明
每行为图中的一条边，格式如下
实体1||实体2||关系

实体中格式为
类型::值
人::35||学位::其他||拥有
人::35||学位::本科||拥有
人::35||职位::uiampuemanager ; ||担任
人::35||职位::设计主管 ; ||担任
人::36||公司::北京睿科市场调研公司||任职
人::36||公司::粉娱北京科技发展有限公司||任职
人::36||学位::北京联合大学广告学院||就读
人::36||学位::大专||拥有
人::36||职位::兼职 ; ||担任
人::36||职位::实习生 ; ||担任
人::37||公司::北京雪邦科技有限公司||任职
人::37||学位::高碑店辛立庄镇中学||就读
人::37||学位::初中||拥有
人::37||职位::行政专员助理 ; ||担任
人::38||公司::北京荧火之光网络科技有限公司||任职
人::38||学位::江西航空学院||就读
人::38||学位::本科||拥有
人::38||职位::销售经理 ; ||担任
人::39||公司::中汇||任职
人::39||公司::晟世九州资产管理有限公司||任职
人::39||公司::中欧温顿||任职
人::39||学位::长春工业大学||就读
人::39||学位::本科||拥有
人::39||职位::执行总监 ; ||担任
人::39||职位::培训策划 ; ||担任
人::39||职位::团队经理 ; ||担任
人::40||公司::东莞市第一人民法院||任职
人::40||公司::北京市亚东律师事务所||任职
人::40||学位::中国政法大学||就读
人::40||学位::本科||拥有
人::40||职位::实习生 ; ||担任
人::40||职位::其他 ; ||担任
人::41||公司::大连东软思维科技发展有限公司北京分公司||任职
人::41||公司::唯品会信息科技有限公司||任职
人::41||学位::郑州理工专修学院||就读
人::41||学位::本科||拥有
人::41||职位::软件工程师 ; ||担任
人::41||职位::软件开发工程师 ; ||担任
人::42||公司::蓝展科技||任职
人::42||学位::河南中医药大学||就读
人::42||学位::本科||拥有
人::42||职位::其他 ; ||担任
人::43||公司::山西东方物华农业科技有限责任公司||任职
人::43||学位::山西大同大学||就读
人::43||学位::本科||拥有
人::43||职位::营运主管 ; ||担任
人::44||公司::||任职
人::44||公司::瀚淇电子||任职
人::44||学位::中原工学院||就读
人::44||学位::大专||拥有
人::44||职位::其他 ; ||担任
人::44||职位::智能大厦综合布线安防弱电 ; ||担任
人::45||公司::北京元六鸿远电子技术有限公司||任职
人::45||学位::中国青年政治学院||就读
人::45||学位::大专||拥有
人::45||职位::it部主管 ; ||担任
人::46||公司::北京博彦科技股份有限公司||任职
人::46||学位::北京吉利大学||就读
人::46||学位::本科||拥有
人::46||职位::测试工程师实习生 ; ||担任
人::47||公司::北京凯英信业科技有限公司||任职
人::47||公司::北京亿城知信科技有限公司||任职
人::47||学位::北京华诚研修学院||就读
人::47||学位::本科||拥有
人::47||职位::互联网软件开发工程师 ; ||担任
人::47||职位::软件工程师 ; ||担任
人::48||公司::优艾佳体验设计||任职
人::48||公司::拉斐尔||任职
人::48||学位::黑龙江外国语||就读
人::48||学位::本科||拥有
人::48||职位:: ; ||担任
人::48||职位::平面设计师 ; ||担任
人::49||公司::北京融汇嘉德投资有限公司||任职
人::49||公司::北京和君管理咨询有限公司||任职
人::49||公司::北京倍舒特科技有限公司||任职
人::49||公司::北京融易汇联科技有限公司||任职
人::49||学位::秦皇岛东北大学||就读
人::49||学位::本科||拥有
人::49||职位::客户经理 ; ||担任
人::49||职位::咨询助理 ; ||担任
人::49||职位::市场营销经理主管 ; ||担任
人::49||职位::交易员实习 ; ||担任
人::50||公司::北京亲子阳光文化传播公司||任职
人::50||学位::北京科技职业学院||就读
人::50||学位::本科||拥有
人::50||职位::前台接待总机接待生 ; ||担任
人::51||公司::蒙牛乳业||任职
人::51||学位::河南理工大学||就读
人::51||学位::本科||拥有
人::51||职位::会计会计师 ; ||担任
人::52||公司::常州秀策坊文化传播有限公司||任职
人::52||学位::中国地质大学(北京)||就读
人::52||学位::本科||拥有
人::52||职位::动画制作 ; ||担任
人::53||公司::学校||任职
人::53||学位::哈尔滨华夏计算机职业技术学院||就读
人::53||学位::大专||拥有
人::53||职位::软件工程师 ; ||担任
人::54||公司::中央人民银行清算总中心||任职
人::54||学位::北京化工大学||就读
人::54||学位::哈尔滨华夏计算机职业技术学院||就读
人::54||学位::本科||拥有
人::54||学位::大专||拥有
人::54||职位::运维操作员 ; ||担任
人::55||公司::包商银行||任职
人::55||公司::内蒙古电子信息职业技术学院||任职
人::55||学位::内蒙古大学||就读
人::55||学位::硕士||拥有
人::55||职位::系统集成岗 ; ||担任
人::55||职位::兼职教师 ; ||担任
人::56||公司::湖北大明水产科技有限公司||任职
人::56||公司::北京国韵康达广告有限公司||任职
人::56||公司::何学林营销策划北京有限公司||任职
人::56||公司::厦新电子北京分公司||任职
人::56||学位::东北财经大学||就读
人::56||学位::本科||拥有
人::56||职位::市场部经理 ; ||担任
人::56||职位::项目经理 ; ||担任
人::56||职位::项目经理 ; ||担任
人::56||职位::区域销售经理 ; ||担任
人::57||公司::北京caac华美地产||任职
人::57||学位::天津商业大学原天津商学院||就读
人::57||学位::本科||拥有
人::57||职位::房地产销售人员 ; ||担任
人::58||公司::北京华亮房地产经纪有限公司||任职
人::58||学位::保定工业学院||就读
人::58||学位::中专||拥有
人::58||职位::经理助理秘书 ; ||担任
人::59||公司::北京天地在线广告有限公司||任职
人::59||学位::职教中心||就读
人::59||学位::中专||拥有
人::59||职位::电话销售 ; ||担任
人::60||公司::北京点线面市场调查有限公司||任职
人::60||公司::凌致服装有限公司||任职
人::60||学位::北方工业大学||就读
人::60||学位::北京培黎职业学院||就读
人::60||学位::本科||拥有
人::60||学位::大专||拥有
人::60||职位::人事助理 ; ||担任
人::60||职位::导购 ; ||担任
人::61||公司::新浪乐居||任职
人::61||公司::北京广泽传播广告有限公司||任职
人::61||公司::网易||任职
人::61||学位::中南林业科技大学||就读
人::61||学位::本科||拥有
人::61||职位::产品运营品牌大客户品牌营销策划 ; ||担任
人::61||职位::广告文案策划 ; ||担任
人::61||职位::编辑策划 ; ||担任
人::62||公司::北京爱义行汽车服务有限责任公司||任职
人::62||公司::北京美廉美超市连锁商业有限公司||任职
人::62||学位::中央广播电视大学||就读
人::62||学位::本科||拥有
人::62||职位::财务经理 ; ||担任
人::62||职位::收银主管 ; ||担任
人::63||公司::北京东立博远科技有限公司||任职
人::63||公司::陕西宏达网络公司||任职
人::63||公司::陕西长盛彩印包装有限公司||任职
人::63||学位::陕西省铁路工程学院||就读
人::63||学位::大专||拥有
人::63||职位::销售代表 ; ||担任
人::63||职位::硬件工程师 ; ||担任
人::63||职位::印刷机械机长 ; ||担任
人::64||公司::私人连锁经营||任职
人::64||公司::中国工会网||任职
人::64||公司::央视市场研究股份有限公司||任职
人::64||公司::北京金龙吉顺汽车销售有限公司||任职
人::64||学位::南京政治学院||就读
人::64||学位::西安欧亚学院||就读
人::64||学位::本科||拥有
人::64||学位::大专||拥有
人::64||职位::合伙人 ; ||担任
人::64||职位::运营中心经理 ; ||担任
人::64||职位::区域经理 ; ||担任
人::64||职位::人事主管 ; ||担任
人::65||公司::coverall||任职
人::65||学位::潍坊科技职业学院||就读
人::65||学位::中专||拥有
人::65||职位::经历助理 ; ||担任
人::66||公司::上海广达电脑制造城||任职
人::66||学位::陕西省技术学院||就读
人::66||学位::中技||拥有
人::66||职位::高级硬件工程师 ; ||担任
人::67||公司::北京电信通电信工程责任有限公司||任职
人::67||公司::北京互友电子商务责任有限公司||任职
人::67||学位::北京燕京华侨学院||就读
人::67||学位::大专||拥有
人::67||职位::销售主管 ; ||担任
人::67||职位::市场部 ; ||担任
人::68||公司::北京天大天科科技发展有限公司||任职
人::68||公司::北京拓林思软件有限公司||任职
人::68||公司::北京易讯正通网络通信技术有限公司||任职
人::68||公司::红色视窗文化作传播中心北京政产学研资讯技术研究院||任职
人::68||公司::北京天九伟业网络服务有限公司||任职
人::68||学位::河南大学||就读
人::68||学位::本科||拥有
人::68||职位::大客户销售 ; ||担任
人::68||职位::销售代表 ; ||担任
人::68||职位::销售代表 ; ||担任
人::68||职位::市场企划经理主管 ; ||担任
人::68||职位::市场营销拓展经理 ; ||担任
人::69||公司::新疆新纪元农牧业发展有限责任公司||任职
人::69||公司::链家地产||任职
人::69||学位::湖南铁道职业技术学院||就读
人::69||学位::大专||拥有
人::69||职位::客户经理 ; ||担任
人::69||职位::销售代表 ; ||担任
人::70||公司::北京博客天下网络科技有限公司||任职
人::70||学位::中央财经大学||就读
人::70||学位::本科||拥有
人::70||职位::质检兼客服部组长 ; ||担任
人::71||公司::搜狐||任职
人::71||公司::北京恒威新生商贸有限公司||任职
人::71||公司::湖北美尔雅股份有限公司哈尔滨分公司||任职
人::71||学位::黑龙江大学||就读
人::71||学位::本科||拥有
人::71||职位::编辑 ; ||担任
人::71||职位::展览展示店面设计 ; ||担任
人::71||职位::销售代表 ; ||担任
人::72||公司::北京东方信联科技有限公司||任职
人::72||公司::北京东方信联科技有限公司||任职
人::72||公司::北京都派皮具有限公司||任职
人::72||公司::北京伊力诺依家具有限公司||任职
人::72||学位::北京工商大学||就读
人::72||学位::大专||拥有
人::72||职位::人力资源专员助理 ; ||担任
人::72||职位::总监助理 ; ||担任
人::72||职位:: ; ||担任
人::72||职位:: ; ||担任
